Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Spondon Peaking STOR,-,16.72,0,0,0,0,61.1952,0,0,0,0,-100%,0%,0%,0%
Rhodia STOR,-,103.62,0,0,0,0,379.2492,0,0,0,0,-100%,0%,0%,0%
Pebble Hall Farm AD,0,727.71,769.88,0,0,0,2663.4186,2810.062,0,0,0,6%,-100%,0%,0%
Blackbridge Farm BIO,-,39.55,41.77,0,0,0,144.753,152.4605,0,0,0,5%,-100%,0%,0%
Carlton Forest STOR,-,14.95,15.79,0,0,0,54.717,57.6335,0,0,0,5%,-100%,0%,0%
Alfreton Diesel Power,-,2.32,2.42,0,0,0,8.4912,8.833,0,0,0,4%,-100%,0%,0%
Mill Fm Caythorpe ESS,-,205,0,0,0,0,750.3,0,0,0,0,-100%,0%,0%,0%
Derby Co-Generation,-,142.33,147.22,138.44,76.74,0,520.9278,537.353,505.306,280.8684,0,3%,-6%,-44%,-100%
Rolls Royce Sinfin C,-,12571.66,13190.34,0,0,0,46012.2756,48144.741,0,0,0,5%,-100%,0%,0%
ABR Foods,-,430.31,444.81,16608.67,9274.49,0,1574.9346,1623.5565,60621.6455,33944.6334,0,3%,3634%,-44%,-100%
AP Drivelines,-,224.55,230.68,0,0,0,821.853,841.982,0,0,0,2%,-100%,0%,0%
Leamington STOR,-,46.71,49.18,0,0,0,170.9586,179.507,0,0,0,5%,-100%,0%,0%
Hall Farm PV,-,45.37,47.43,0,0,0,166.0542,173.1195,0,0,0,4%,-100%,0%,0%
Langar Commercial PV,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Langar PV Community,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Corby Power generation,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%
