Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Troughton Farm PV,0,2.9,2.99,3.13,2.93,4.7,10.614,10.9135,11.4245,10.7238,17.155,3%,5%,-6%,60%
Tyseley Waste,0,30.27,31.13,71.4,66.74,60.34,110.7882,113.6245,260.61,244.2684,220.241,3%,129%,-6%,-10%
Takao Europe,1,494.9,520.79,2942.82,978.22,2304.14,1811.334,1900.8835,10741.293,3580.2852,8410.111,5%,465%,-67%,135%
Four Ashes Incinerator,0,195.18,206.82,212.19,198.32,75.71,714.3588,754.893,774.4935,725.8512,276.3415,6%,3%,-6%,-62%
Witches Farm Solar,0,23.43,24.61,25.25,23.6,40.75,85.7538,89.8265,92.1625,86.376,148.7375,5%,3%,-6%,72%
Uni of Birmingham,3,2100.46,2186.77,19963.62,10600.12,29922.93,7687.6836,7981.7105,72867.213,38796.4392,109218.6945,4%,813%,-47%,182%
Severn Trent Water (Wyelands),1,5518.99,5813.73,8373.18,6053.76,2907.68,20199.5034,21220.1145,30562.107,22156.7616,10613.032,5%,44%,-28%,-52%
Wolverhampton Waste Services,0,182.44,194.61,191.88,188.61,15.33,667.7304,710.3265,700.362,690.3126,55.9545,6%,-1%,-1%,-92%
Stoke CHP,2,142.05,151.26,149.14,3003.37,10630.78,519.903,552.099,544.361,10992.3342,38802.347,6%,-1%,1919%,253%
WBB Minerals,1,752.79,791.58,3220.65,1237.9,2124.16,2755.2114,2889.267,11755.3725,4530.714,7753.184,5%,307%,-61%,71%
Cauldon Cement,3,535.76,562.88,18370.14,9005.9,27676.12,1960.8816,2054.512,67051.011,32961.594,101017.838,5%,3164%,-51%,206%
Abson Gas Compressor Station,2,148.59,154.45,11124.32,3004.88,10734.18,543.8394,563.7425,40603.768,10997.8608,39179.757,4%,7103%,-73%,256%
Ervin Amasteel,2,3617.06,3844.91,14910.6,6543.75,21340.96,13238.4396,14033.9215,54423.69,23950.125,77894.504,6%,288%,-56%,225%
Hanford Waste Services,0,23.81,25.02,24.67,24.25,107.44,87.1446,91.323,90.0455,88.755,392.156,5%,-1%,-1%,342%
NR Kidsgrove,2,8730.16,9113.59,20024.66,11761.21,22210.71,31952.3856,33264.6035,73090.009,43046.0286,81069.0915,4%,120%,-41%,88%
NR Stafford,3,2638.29,2714.71,20545.49,11172.08,28676.16,9656.1414,9908.6915,74991.0385,40889.8128,104667.984,3%,657%,-45%,156%
NR Washwood Heath,2,1542.41,1591.62,12575.38,4438.87,13796.3,5645.2206,5809.413,45900.137,16246.2642,50356.495,3%,690%,-65%,210%
NR Winson Green,3,1330.89,1369.42,19180.21,9830.06,28778.38,4871.0574,4998.383,70007.7665,35978.0196,105041.087,3%,1301%,-49%,192%
NR Smethwick,3,6738.08,7013.2,24761.42,15316.16,36341.82,24661.3728,25598.18,90379.183,56057.1456,132647.643,4%,253%,-38%,137%
NR Willenhall,2,1064.28,1100.06,12076.07,3948.06,12178.91,3895.2648,4015.219,44077.6555,14449.8996,44453.0215,3%,998%,-67%,208%
Northwick AD,0,45.55,48.52,49.78,46.53,2.47,166.713,177.098,181.697,170.2998,9.0155,6%,3%,-6%,-95%
Inco Alloys,3,788.36,826.55,18640.65,9258.74,27072.33,2885.3976,3016.9075,68038.3725,33886.9884,98814.0045,5%,2155%,-50%,192%
Swancote,0,34.84,36.83,37.78,514.14,29.58,127.5144,134.4295,137.897,1881.7524,107.967,5%,3%,1265%,-94%
Spring Hill Solar generation,0,1.77,1.82,1.86,1.74,0.82,6.4782,6.643,6.789,6.3684,2.993,3%,2%,-6%,-53%
NG Wormington Gas Compressor,3,3430.21,3614.82,21501.31,11932.48,31399.42,12554.5686,13194.093,78479.7815,43672.8768,114607.883,5%,495%,-44%,162%
Greenfrog STOR generation,1,2.64,2.71,2.78,481.42,1956.81,9.6624,9.8915,10.147,1761.9972,7142.3565,2%,3%,17265%,305%
Union Road,2,595.54,632.81,649.24,3463.59,11099.51,2179.6764,2309.7565,2369.726,12676.7394,40513.2115,6%,3%,435%,220%
Quatt,2,87.51,91.23,11055.82,2945.2,10530.78,320.2866,332.9895,40353.743,10779.432,38437.347,4%,12019%,-73%,257%
Knypersley,1,0.58,0.6,0.59,479.41,1952.21,2.1228,2.19,2.1535,1754.6406,7125.5665,3%,-2%,81379%,306%
Simplex,1,331.38,344.24,2761.69,808.93,2087.3,1212.8508,1256.476,10080.1685,2960.6838,7618.645,4%,702%,-71%,157%
Northwick STOR sub supply,1,179.05,183.47,188.24,654.77,1953.84,655.323,669.6655,687.076,2396.4582,7131.516,2%,3%,249%,198%
Star Aluminium,3,151.51,155.25,17951.93,8615.01,27051.5,554.5266,566.6625,65524.5445,31530.9366,98737.975,2%,11463%,-52%,213%
Battlefield Incinerator,0,123.32,129.79,133.16,124.46,21.73,451.3512,473.7335,486.034,455.5236,79.3145,5%,3%,-6%,-83%
Says Court Farm PV,0,1.14,1.2,1.24,1.15,0.23,4.1724,4.38,4.526,4.209,0.8395,5%,3%,-7%,-80%
Hayford Fm PV Emdedded 2,0,2.91,3.08,3.16,2.95,1.14,10.6506,11.242,11.534,10.797,4.161,6%,3%,-6%,-61%
Rotherdale Solar Farm,1,1.19,1.22,1.25,480,1955.74,4.3554,4.453,4.5625,1756.8,7138.451,2%,2%,38405%,306%
Lower Newton Solar Farm,0,6.44,6.82,7,6.54,6.29,23.5704,24.893,25.55,23.9364,22.9585,6%,3%,-6%,-4%
Wrockwardine Solar Farm,0,1.5,1.54,1.58,1.47,8.9,5.49,5.621,5.767,5.3802,32.485,2%,3%,-7%,504%
Condover Solar Farm,1,27.74,29.51,30.27,507.13,1984.28,101.5284,107.7115,110.4855,1856.0958,7242.622,6%,3%,1580%,290%
Tower Hill Farm PV,1,2.48,12.99,13.33,491.29,1965.01,9.0768,47.4135,48.6545,1798.1214,7172.2865,422%,3%,3596%,299%
Hill House Farm Solar,0,3.79,4.03,4.13,3.86,4.64,13.8714,14.7095,15.0745,14.1276,16.936,6%,2%,-6%,20%
Pitchford Farm Solar,0,21.13,22.47,23.05,21.55,25.59,77.3358,82.0155,84.1325,78.873,93.4035,6%,3%,-6%,18%
