Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Mynydd Y Bwllfa,-,30.9,0,0,0,0,113.094,0,0,0,0,-100%,0%,0%,0%
MARGAM BIOMASS 132kV (exWLOG1G),-,142.66,0,0,0,0,522.1356,0,0,0,0,-100%,0%,0%,0%
MYNYDD Y GWAIR 132kV,-,9.43,0,0,0,0,34.5138,0,0,0,0,-100%,0%,0%,0%
Penrhiwarwydd Farm,-,14.53,0,0,0,0,53.1798,0,0,0,0,-100%,0%,0%,0%
Cwm Bargoed,-,742.73,0,0,0,0,2718.3918,0,0,0,0,-100%,0%,0%,0%
Little Neath,-,6.1,0,0,0,0,22.326,0,0,0,0,-100%,0%,0%,0%
Hoplass,-,3.1,0,0,0,0,11.346,0,0,0,0,-100%,0%,0%,0%
Gelliwern Isaf,-,3.23,0,0,0,0,11.8218,0,0,0,0,-100%,0%,0%,0%
Oak cottage,-,60.91,0,0,0,0,222.9306,0,0,0,0,-100%,0%,0%,0%
Red Court,-,4.29,0,0,0,0,15.7014,0,0,0,0,-100%,0%,0%,0%
Carn Nicholas,-,4.25,0,0,0,0,15.555,0,0,0,0,-100%,0%,0%,0%
Brynwhilach Farm,-,51.67,0,0,0,0,189.1122,0,0,0,0,-100%,0%,0%,0%
Jesus College,-,4.01,0,0,0,0,14.6766,0,0,0,0,-100%,0%,0%,0%
Sully Moors,-,42.34,0,0,0,0,154.9644,0,0,0,0,-100%,0%,0%,0%
Hafod Y Dafal #2,-,34.23,0,0,0,0,125.2818,0,0,0,0,-100%,0%,0%,0%
OAK GROVE FM 33kV GEN,-,2.74,0,0,0,0,10.0284,0,0,0,0,-100%,0%,0%,0%
LLANCADLE 33kV GEN,-,33.17,0,0,0,0,121.4022,0,0,0,0,-100%,0%,0%,0%
Lower House farm,-,142.88,0,0,0,0,522.9408,0,0,0,0,-100%,0%,0%,0%
DERWYN FM 33kV GEN,-,8.23,0,0,0,0,30.1218,0,0,0,0,-100%,0%,0%,0%
Rosedew Farm,-,35.97,0,0,0,0,131.6502,0,0,0,0,-100%,0%,0%,0%
Mynydd Y Gwrhyd,-,20.95,0,0,0,0,76.677,0,0,0,0,-100%,0%,0%,0%
TONYPANDY STOR 33kV GEN,-,6.11,0,0,0,0,22.3626,0,0,0,0,-100%,0%,0%,0%
TRASTON ROAD 33kV GEN,-,6.93,0,0,0,0,25.3638,0,0,0,0,-100%,0%,0%,0%
MANOR FM 66kV GEN,-,10.42,0,0,0,0,38.1372,0,0,0,0,-100%,0%,0%,0%
Rhewl Farm,-,11.82,0,0,0,0,43.2612,0,0,0,0,-100%,0%,0%,0%
BARGOED 33V GEN,-,7.6,0,0,0,0,27.816,0,0,0,0,-100%,0%,0%,0%
MYNYDD BROMBIL 33kV GEN,-,65.36,0,0,0,0,239.2176,0,0,0,0,-100%,0%,0%,0%
RASSAU IE 33kV GEN,-,69.07,0,0,0,0,252.7962,0,0,0,0,-100%,0%,0%,0%
Llynfi Afan,-,36.79,0,0,0,0,134.6514,0,0,0,0,-100%,0%,0%,0%
MYNYDD YR ABER 66kV GEN,-,119.06,0,0,0,0,435.7596,0,0,0,0,-100%,0%,0%,0%
WAUN Y POUND #1 33kV GEN,-,17.94,0,0,0,0,65.6604,0,0,0,0,-100%,0%,0%,0%
COCKETT VALLEY 33kV GEN,-,5.41,0,0,0,0,19.8006,0,0,0,0,-100%,0%,0%,0%
NANTHENFOEL 33kV GEN,-,1.85,0,0,0,0,6.771,0,0,0,0,-100%,0%,0%,0%
WAUN Y POUND #2 33kV GEN,-,17.94,0,0,0,0,65.6604,0,0,0,0,-100%,0%,0%,0%
St Peters Church,-,180.99,0,0,0,0,662.4234,0,0,0,0,-100%,0%,0%,0%
SHLNG,-,15847.8,0,0,0,0,58002.948,0,0,0,0,-100%,0%,0%,0%
Blaengwen,-,675.26,0,0,0,0,2471.4516,0,0,0,0,-100%,0%,0%,0%
Bryn Titli,-,21.61,0,0,0,0,79.0926,0,0,0,0,-100%,0%,0%,0%
Dyffryn Brodyn,-,4.36,0,0,0,0,15.9576,0,0,0,0,-100%,0%,0%,0%
BOC Biomass 33kV (exMBIO3G),-,334.16,0,0,0,0,1223.0256,0,0,0,0,-100%,0%,0%,0%
Taff Ely,-,6.26,0,0,0,0,22.9116,0,0,0,0,-100%,0%,0%,0%
Withy Hedges,-,12.18,0,0,0,0,44.5788,0,0,0,0,-100%,0%,0%,0%
Tiers Cross (Rose Cottage),-,11.08,0,0,0,0,40.5528,0,0,0,0,-100%,0%,0%,0%
Berthllwyd Farm,-,4.75,0,0,0,0,17.385,0,0,0,0,-100%,0%,0%,0%
Whitton Mawr,-,14.29,0,0,0,0,52.3014,0,0,0,0,-100%,0%,0%,0%
North Tenement,-,29.34,0,0,0,0,107.3844,0,0,0,0,-100%,0%,0%,0%
Bryn Cyrnau Isaf,-,16.87,0,0,0,0,61.7442,0,0,0,0,-100%,0%,0%,0%
