Name,RCB,2020_IFC,2021_IFC,2022_IFC,2023_IFC,2024_IFC,2020_AFC,2021_AFC,2022_AFC,2023_AFC,2024_AFC,2021 Importfixed charge Changes (%),2022 Importfixed charge Changes (%),2023 Importfixed charge Changes (%),2024 Importfixed charge Changes (%)
Ashwater Auxillary Supply,0,3.21,2.67,2.8,2.91,3.29,11.7486,9.7455,10.22,10.6506,12.0085,-17%,5%,4%,13%
Otterham Wind Farm Phase 3  (STOR),0,47.88,45.14,50.83,48.48,53.57,175.2408,164.761,185.5295,177.4368,195.5305,-6%,13%,-4%,10%
Till House,0,12.56,11.23,13.47,12.77,14.45,45.9696,40.9895,49.1655,46.7382,52.7425,-11%,20%,-5%,13%
Outlands Wood,1,4.27,3.44,3.62,1137.25,2583.76,15.6282,12.556,13.213,4162.335,9430.724,-20%,5%,31402%,127%
Culmhead,0,3.67,3.22,3.38,3.61,4.15,13.4322,11.753,12.337,13.2126,15.1475,-13%,5%,7%,15%
Whitchurch Farm PV,0,1.23,0.99,1.04,1.06,1.17,4.5018,3.6135,3.796,3.8796,4.2705,-20%,5%,2%,10%
Kingsland Barton,0,6.78,5.84,7.43,4.77,5.27,24.8148,21.316,27.1195,17.4582,19.2355,-14%,27%,-36%,10%
Mendip Solar PV Farm,0,2.37,1.91,2.01,2.04,2.25,8.6742,6.9715,7.3365,7.4664,8.2125,-20%,5%,2%,10%
St Stephen PV,0,4.87,4.31,4.53,4.86,5.61,17.8242,15.7315,16.5345,17.7876,20.4765,-12%,5%,8%,15%
Trewidland farm PV,0,5.91,5.14,5.4,5.75,6.59,21.6306,18.761,19.71,21.045,24.0535,-13%,5%,7%,14%
Watchfield Lawn,0,7.2,5.9,6.21,6.35,7.09,26.352,21.535,22.6665,23.241,25.8785,-18%,5%,3%,11%
Gover Park,1,6.19,5.51,6.66,1139.83,2586.75,22.6554,20.1115,24.309,4171.7778,9441.6375,-11%,21%,17061%,126%
North Wayton,0,12.11,10.42,10.95,11.58,13.21,44.3226,38.033,39.9675,42.3828,48.2165,-14%,5%,6%,14%
Week Farm,0,21.41,19.56,22.65,22.5,25.85,78.3606,71.394,82.6725,82.35,94.3525,-9%,16%,0%,15%
Cullompton,0,16.85,15.22,17.95,17.39,19.83,61.671,55.553,65.5175,63.6474,72.3795,-10%,18%,-3%,14%
Dinder Farm,0,8.71,6.99,7.36,10.12,11.15,31.8786,25.5135,26.864,37.0392,40.6975,-20%,5%,38%,10%
Pitts Farm,0,14.71,12.68,16.12,14.12,15.56,53.8386,46.282,58.838,51.6792,56.794,-14%,27%,-12%,10%
Kerriers,0,21.6,20.54,21.54,23.14,27.21,79.056,74.971,78.621,84.6924,99.3165,-5%,5%,8%,17%
Ernesettle Lane,0,499.28,7.85,8.25,542.77,604.85,1827.3648,28.6525,30.1125,1986.5382,2207.7025,-98%,5%,6497%,11%
Goonhilly Solar Park,0,14.56,11.66,12.28,12.4,13.69,53.2896,42.559,44.822,45.384,49.9685,-20%,5%,1%,10%
Nanteague,0,15.51,14.19,14.89,16.32,19.07,56.7666,51.7935,54.3485,59.7312,69.6055,-9%,5%,10%,17%
Bidwell Dartington PV,0,3.71,3.21,4.05,4.71,5.3,13.5786,11.7165,14.7825,17.2386,19.345,-14%,26%,17%,12%
New Row Farm,0,9.49,8.22,10.36,9.17,10.15,34.7334,30.003,37.814,33.5622,37.0475,-14%,26%,-11%,10%
Woodland Barton Windfarm,1,38.73,36.68,38.47,1174.49,2627.66,141.7518,133.882,140.4155,4298.6334,9590.959,-6%,5%,2961%,123%
Four Burrows 2,0,9.05,8.15,8.54,8.83,10.36,33.123,29.7475,31.171,32.3178,37.814,-10%,5%,4%,17%
Redlands Farm,0,6.5,5.74,6.03,6.48,7.47,23.79,20.951,22.0095,23.7168,27.2655,-12%,5%,8%,15%
Tengore Lane PV,0,7.29,6.24,6.56,6.91,7.87,26.6814,22.776,23.944,25.2906,28.7255,-15%,5%,6%,14%
